PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32315260","Artificial Intelligence in Dentistry: Chances and Challenges","Schwendicke F, Samek W, Krois J.","J Dent Res. 2020 Jul;99(7):769-774. doi: 10.1177/0022034520915714. Epub 2020 Apr 21.","Schwendicke F","J Dent Res","2020","2020/04/22","PMC7309354","","10.1177/0022034520915714"
"38491544","Generative AI in healthcare: an implementation science informed translational path on application, integration and governance","Reddy S.","Implement Sci. 2024 Mar 15;19(1):27. doi: 10.1186/s13012-024-01357-9.","Reddy S","Implement Sci","2024","2024/03/16","PMC10941464","","10.1186/s13012-024-01357-9"
"36733854","Artificial intelligence technologies and compassion in healthcare: A systematic scoping review","Morrow E, Zidaru T, Ross F, Mason C, Patel KD, Ream M, Stockley R.","Front Psychol. 2023 Jan 17;13:971044. doi: 10.3389/fpsyg.2022.971044. eCollection 2022.","Morrow E","Front Psychol","2023","2023/02/03","PMC9887144","","10.3389/fpsyg.2022.971044"
"37692617","Unraveling the Ethical Enigma: Artificial Intelligence in Healthcare","Jeyaraman M, Balaji S, Jeyaraman N, Yadav S.","Cureus. 2023 Aug 10;15(8):e43262. doi: 10.7759/cureus.43262. eCollection 2023 Aug.","Jeyaraman M","Cureus","2023","2023/09/11","PMC10492220","","10.7759/cureus.43262"
"34003504","Artificial intelligence in nursing: Priorities and opportunities from an international invitational think-tank of the Nursing and Artificial Intelligence Leadership Collaborative","Ronquillo CE, Peltonen LM, Pruinelli L, Chu CH, Bakken S, Beduschi A, Cato K, Hardiker N, Junger A, Michalowski M, Nyrup R, Rahimi S, Reed DN, Salakoski T, Salanterä S, Walton N, Weber P, Wiegand T, Topaz M.","J Adv Nurs. 2021 Sep;77(9):3707-3717. doi: 10.1111/jan.14855. Epub 2021 May 18.","Ronquillo CE","J Adv Nurs","2021","2021/05/18","PMC7612744","EMS144965","10.1111/jan.14855"
"31419816","Health Information Management: Implications of Artificial Intelligence on Healthcare Data and Information Management","Stanfill MH, Marc DT.","Yearb Med Inform. 2019 Aug;28(1):56-64. doi: 10.1055/s-0039-1677913. Epub 2019 Aug 16.","Stanfill MH","Yearb Med Inform","2019","2019/08/17","PMC6697524","","10.1055/s-0039-1677913"
"39067366","Physical therapists' perceptions and attitudes towards artificial intelligence in healthcare and rehabilitation: A qualitative study","Shawli L, Alsobhi M, Faisal Chevidikunnan M, Rosewilliam S, Basuodan R, Khan F.","Musculoskelet Sci Pract. 2024 Oct;73:103152. doi: 10.1016/j.msksp.2024.103152. Epub 2024 Jul 24.","Shawli L","Musculoskelet Sci Pract","2024","2024/07/27","","","10.1016/j.msksp.2024.103152"
"36187723","Development of a novel dementia risk prediction model in the general population: A large, longitudinal, population-based machine-learning study","You J, Zhang YR, Wang HF, Yang M, Feng JF, Yu JT, Cheng W.","EClinicalMedicine. 2022 Sep 23;53:101665. doi: 10.1016/j.eclinm.2022.101665. eCollection 2022 Nov.","You J","EClinicalMedicine","2022","2022/10/03","PMC9519470","","10.1016/j.eclinm.2022.101665"
"34711379","The false hope of current approaches to explainable artificial intelligence in health care","Ghassemi M, Oakden-Rayner L, Beam AL.","Lancet Digit Health. 2021 Nov;3(11):e745-e750. doi: 10.1016/S2589-7500(21)00208-9.","Ghassemi M","Lancet Digit Health","2021","2021/10/29","","","10.1016/S2589-7500(21)00208-9"
"40561583","N.U.R.S.E.S. embracing artificial intelligence: A guide to artificial intelligence literacy for the nursing profession","Hoelscher SH, Pugh A.","Nurs Outlook. 2025 Jul-Aug;73(4):102466. doi: 10.1016/j.outlook.2025.102466. Epub 2025 Jun 24.","Hoelscher SH","Nurs Outlook","2025","2025/06/25","","","10.1016/j.outlook.2025.102466"
"38566608","Twelve tips for addressing ethical concerns in the implementation of artificial intelligence in medical education","Franco D'Souza R, Mathew M, Mishra V, Surapaneni KM.","Med Educ Online. 2024 Dec 31;29(1):2330250. doi: 10.1080/10872981.2024.2330250. Epub 2024 Apr 3.","Franco D'Souza R","Med Educ Online","2024","2024/04/03","PMC10993743","","10.1080/10872981.2024.2330250"
"40087789","Integrating artificial intelligence in drug discovery and early drug development: a transformative approach","Ocana A, Pandiella A, Privat C, Bravo I, Luengo-Oroz M, Amir E, Gyorffy B.","Biomark Res. 2025 Mar 14;13(1):45. doi: 10.1186/s40364-025-00758-2.","Ocana A","Biomark Res","2025","2025/03/15","PMC11909971","","10.1186/s40364-025-00758-2"
"40031938","Artificial intelligence in public health: promises, challenges, and an agenda for policy makers and public health institutions","Panteli D, Adib K, Buttigieg S, Goiana-da-Silva F, Ladewig K, Azzopardi-Muscat N, Figueras J, Novillo-Ortiz D, McKee M.","Lancet Public Health. 2025 May;10(5):e428-e432. doi: 10.1016/S2468-2667(25)00036-2. Epub 2025 Feb 28.","Panteli D","Lancet Public Health","2025","2025/03/03","PMC12040707","","10.1016/S2468-2667(25)00036-2"
"30082307","Algorithmic accountability","Shah H.","Philos Trans A Math Phys Eng Sci. 2018 Sep 13;376(2128):20170362. doi: 10.1098/rsta.2017.0362.","Shah H","Philos Trans A Math Phys Eng Sci","2018","2018/08/08","","","10.1098/rsta.2017.0362"
"40823249","Integrative review of artificial intelligence applications in nursing: education, clinical practice, workload management, and professional perceptions","El Arab RA, Al Moosa OA, Sagbakken M, Ghannam A, Abuadas FH, Somerville J, Al Mutair A.","Front Public Health. 2025 Aug 1;13:1619378. doi: 10.3389/fpubh.2025.1619378. eCollection 2025.","El Arab RA","Front Public Health","2025","2025/08/18","PMC12354398","","10.3389/fpubh.2025.1619378"
"32821856","Digitizing clinical trials","Inan OT, Tenaerts P, Prindiville SA, Reynolds HR, Dizon DS, Cooper-Arnold K, Turakhia M, Pletcher MJ, Preston KL, Krumholz HM, Marlin BM, Mandl KD, Klasnja P, Spring B, Iturriaga E, Campo R, Desvigne-Nickens P, Rosenberg Y, Steinhubl SR, Califf RM.","NPJ Digit Med. 2020 Jul 31;3:101. doi: 10.1038/s41746-020-0302-y. eCollection 2020.","Inan OT","NPJ Digit Med","2020","2020/08/22","PMC7395804","","10.1038/s41746-020-0302-y"
"31786504","Ethical considerations in artificial intelligence","Safdar NM, Banja JD, Meltzer CC.","Eur J Radiol. 2020 Jan;122:108768. doi: 10.1016/j.ejrad.2019.108768. Epub 2019 Nov 23.","Safdar NM","Eur J Radiol","2020","2019/12/02","","","10.1016/j.ejrad.2019.108768"
"35459850","Artificial intelligence-enabled decision support in nephrology","Loftus TJ, Shickel B, Ozrazgat-Baslanti T, Ren Y, Glicksberg BS, Cao J, Singh K, Chan L, Nadkarni GN, Bihorac A.","Nat Rev Nephrol. 2022 Jul;18(7):452-465. doi: 10.1038/s41581-022-00562-3. Epub 2022 Apr 22.","Loftus TJ","Nat Rev Nephrol","2022","2022/04/23","PMC9379375","NIHMS1828770","10.1038/s41581-022-00562-3"
