ERIC_ID,Title,Authors,Year,Abstract,Journal,Source,DOI,URL,Keywords,Language,Publication_Type
EJ1484420,Utilizing Artificial Intelligence for Assessment in Higher Education,Daniel Lupiya Mpolomoka,0243,"Overview: This systematic review explores the utilization of artificial intelligence (AI) for assessment, grading, and feedback in higher education. The review aims to establish how AI technologies enhance efficiency, scalability, and personalized learning experiences in educational settings, while addressing associated challenges that arise due to AI use. Methods: In this article, a comprehensive search of 6 different academic databases including PubMed, Google Scholar, IEEE Xplore, ERIC, and Scopus were conducted. The focus was on the published studies ranging between 2010 and 2023. Also, inclusion criteria required studies to be peer-reviewed, centered on AI applications in higher education. Studies were to provide empirical evidence or theoretical discussions relevant to assessment processes. Thus, twenty studies meeting these criteria were selected, scrutinized and analyzed. Results: Pertaining to the findings, they indicate that AI-driven systems significantly streamline grading processes, reduce turnaround times, and provide timely, personalized feedback. These systems also offer data-driven insights that inform instructional practices. However, challenges such as algorithmic bias, validity concerns in subjective assessments, and ethical issues related to data privacy persist. Effective AI integration necessitates alignment with pedagogical goals, ongoing professional development for educators, and transparent policies to ensure fairness and equity. Conclusion: AI technologies hold transformative potential for enhancing assessment practices in higher education. Therefore, addressing technical, ethical, and pedagogical challenges through interdisciplinary collaboration and evidence-based approaches is essential to fully realizing AI's benefits. Future research should focus on validating AI-driven assessment methods and exploring their long-term impact on educational outcomes.",Pedagogical Research,v10 n3 Article em0243 2025,,http://eric.ed.gov/?id=EJ1484420,Artificial Intelligence; Higher Education; Evaluation Methods; Literature Reviews; Grading; Feedback (Response); Computer Assisted Testing; Educational Technology; Technology Integration; Automation; Ethics; Individualized Instruction,English,Journal Articles; Information Analyses
EJ1486132,The Impact of Artificial Intelligence on Strategic Decision-Making in Business Administration: An Analytical Study Including Educational and Business Environments,Yousef Al Abdallat,2025,"Background/purpose: The study examined the impact of artificial intelligence on strategic decision-making in business management, focusing on Educational and Business Environments, with a particular emphasis on internal capabilities, organizational readiness, ethical considerations, and regional contextual factors that affect AI integration. Materials/methods: A mixed-methods approach that combines quantitative and qualitative approaches. Purposive sampling of businesses from different industries and geographical areas that employ AI in strategic decision-making. Data were collected through semi-structured interviews with professionals from nine diverse work environments, including Jordan, Germany, Saudi Arabia, and the United States. Results: The findings reveal that most businesses are still in the planning phase of AI adoption, with limited strategic implementation and reliance on machine learning and predictive analytics in operational tasks. The majority of businesses are still in the planning phase of AI adoption, with limited strategic use and reliance on predictive analytics and machine learning in day-to-day operations. Organizations often lack the necessary frameworks, technical expertise, and strategic alignment to fully leverage AI technologies, despite growing awareness. Despite the widespread use of AI in educational institutions, many lack infrastructure for staff training. Conclusion: Lack of ethical frameworks, low employee AI literacy, and difficulty tailoring AI tools to specific industries are among the main obstacles. To facilitate successful AI integration, the study recommends enhancing employee training, establishing moral guidelines, and coordinating internal and external resources.",Educational Process: International Journal,v18 Article e2025509 2025,,http://eric.ed.gov/?id=EJ1486132,Artificial Intelligence; Strategic Planning; Decision Making; Business Administration; Ethics; Business; Technology Integration; Prediction; Data Analysis; Digital Literacy; Knowledge Level; Training; Automation; Educational Finance; Money Management; Financial Services; Governance,English,Journal Articles; Reports - Research; Tests/Questionnaires
EJ1493785,"Artificial Intelligence-Supported Workplace Education: A Systematic Review of Learning Outcomes, Opportunities, and Challenges",Ecehan Kazanci Yabanova,2025,"Background/purpose: In the digital age, education is no longer considered an activity carried out during a specific period of life, but rather a lifelong concept. The skills acquired through formal education processes can become obsolete within a few years due to the rapid pace of the era. It is precisely at this point that corporate structures are under more pressure than ever to keep their employees' skills up to date. These training programmes are conducted with intensive use of educational technologies in order to prevent workforce loss and provide training at an appropriate cost. In the field of corporate learning and development, the impact of artificial intelligence technologies on employee training is also increasing. Materials/methods: This article systematically examines the effects, opportunities, and challenges of AI applications in employee training. The field of artificial intelligence applications in education has been evaluated within a theoretical framework, and articles published between 2020 and 2025 have been analysed using a systematic review and a thematic content analysis, focusing on impacts, opportunities, and challenges. Results: The analysis revealed that artificial intelligence affects cognitive, affective, behavioural, and technical-organisational dimensions of employee training. Opportunities were reported in learning quality, cognitive development, affective and social aspects, performance and efficiency, and organisational aspects, while challenges were reported in technical, infrastructure, ethics and law, organisational, and pedagogical dimensions. Conclusion: Artificial intelligence is expected to make significant contributions to employee training. However, many areas identified as challenges need to be addressed in order to maximise the benefits of these technologies.",Educational Process: International Journal,v19 Article e2025602 2025,,http://eric.ed.gov/?id=EJ1493785,Workplace Learning; Artificial Intelligence; Technology Uses in Education; Educational Opportunities; Barriers; Educational Research; Outcomes of Education,English,Journal Articles; Information Analyses
EJ1481478,Navigating the Challenges and Opportunities of Artificial Intelligence in Educational Leadership: A Scoping Review,Ana-Inés Renta-Davids; Marta Camarero-Figuerola; Mar Camacho,7010,"The increasing integration of Artificial Intelligence (AI) in educational settings is transforming the role of school leaders, reshaping how decisions are made, and introducing both opportunities and challenges. This paper presents the findings of a scoping review that synthesises the current literature on AI's impact on educational leadership. The review highlights that while AI has the potential to enhance decision-making through data-driven insights and automation of administrative tasks, its implementation requires careful consideration of ethical, equity, and human-centred concerns. Key findings suggest that educational leaders must develop digital literacy and AI competence to critically assess AI outputs and mitigate risks, particularly related to algorithmic bias and data privacy. The review also emphasises the necessity of continuous professional development for leaders and staff to ensure effective and ethical AI integration. In light of these findings, this paper advocates for a balanced approach where AI is used to augment, rather than replace, the human elements of leadership, and calls for future empirical research to further investigate the long-term implications of AI in diverse educational contexts.",Review of Education,v13 n2 e70101 2025,10.1002/rev3.70101,http://eric.ed.gov/?id=EJ1481478,Artificial Intelligence; Instructional Leadership; Technology Integration; Decision Making; Automation; School Administration; Digital Literacy; Risk Management; Algorithms; Bias; Privacy; Information Security,English,Journal Articles; Information Analyses
EJ1485189,The Role of Artificial Intelligence in Shaping Assessment Practices in Higher Education,Ilhama Mammadova; Fatime Ismayilli; Elnaz Aliyeva; Narmin Mammadova,2025,"Background/purpose: Artificial Intelligence (AI) is increasingly shaping assessment practices in higher education, promising faster feedback and reduced instructor workload while also raising concerns about fairness and transparency. This study examines how AI technologies are transforming assessment processes and the experiences of stakeholders. Materials/methods: We conducted a mixed-methods study across five universities. A total of 300 undergraduate students and 100 instructors completed parallel surveys (totaling 30 items each) about their use of and perceptions toward AI tools. We also interviewed 15 faculty and conducted four student focus groups to explore experiences with AI-based assessment. Quantitative data were analyzed using descriptive statistics and independent t-tests, while interview transcripts were analyzed thematically. Results: The majority of participants reported efficiency gains from AI. For example, 73% of students received faster feedback when AI was used, and instructors reported an average 40% reduction in grading time. However, 52% of students did not fully understand how AI-derived scores were calculated. Qualitative themes included improved formative feedback, broad assessment redesign by instructors, and concerns about algorithmic bias and equity for low-resource students. Conclusion: AI-enabled assessment offers clear pedagogical benefits when implemented thoughtfully. Key recommendations include ensuring transparent AI processes, training educators and students, and enacting equity-focused policies. Institutional readiness--through policies and support--is crucial for harnessing AI's potential for assessment while ensuring fairness and maintaining learning quality.",Educational Process: International Journal,v18 Article e2025439 2025,,http://eric.ed.gov/?id=EJ1485189,Artificial Intelligence; Student Evaluation; Technology Uses in Education; Undergraduate Students; Student Attitudes; College Faculty; Teacher Attitudes; Computer Assisted Testing; Ethics; Educational Policy,English,Journal Articles; Reports - Research
EJ1466584,Advancing Equitable Education with Inclusive AI to Mitigate Bias and Enhance Teacher Literacy,Kayode Oyetade; Tranos Zuva,2025,"Background/purpose: The integration of artificial intelligence (AI) in education has the potential to address inequalities and enhance teaching and learning outcomes. However, challenges such as AI biases, limited teacher literacy, and resource constraints hinder equitable implementation, especially in contexts like South Africa. This study investigates strategies for inclusive AI adoption, focusing on localized solutions, co-design practices, and ethical frameworks tailored to the region's unique needs, including linguistic diversity and cultural inclusivity. Materials/methods: Using a literature review methodology spanning studies from 2000 to 2024, this research examines global and local initiatives to identify effective practices for AI integration in education. The study emphasizes the importance of localized datasets, culturally responsive AI tools, continuous professional development, and collaborative learning communities. Results: The study proposes a phased implementation model that includes fairness-aware algorithms, diverse datasets, and sustainable infrastructure investments. It highlights the need to adapt global frameworks to local contexts and foster stakeholder collaboration. These strategies aim to address barriers and provide policymakers and educators with practical recommendations for equitable AI adoption. Conclusion: The findings highlight the importance of localized and culturally responsive approaches to AI integration in education. By leveraging diverse datasets, co-design practices, and ethical frameworks, South Africa can create inclusive AI systems that address inequalities and improve learning outcomes. The study offers policymakers, educators, and stakeholders a practical roadmap to ensure context-sensitive and equitable AI implementation in education.",Educational Process: International Journal,v14 Article e2025087 2025,,http://eric.ed.gov/?id=EJ1466584,Artificial Intelligence; Educational Technology; Technology Uses in Education; Equal Education; Barriers; Teacher Competencies; Resources; Culturally Relevant Education; Foreign Countries; Inclusion; Algorithms; Bias; Multiple Literacies; Technological Literacy,English,Journal Articles; Information Analyses
ED664493,University Human Resource Administrators' Awareness on Generative AI in Higher Education,Angela Jackson,2024,"This study investigates the perspectives of University Human Resource Administrators in Tennessee regarding the integration of generative AI technologies in higher education. Focusing on administrators within the College & University Professional Association for HR TN Chapter, the research employed a mixed-methods approach, utilizing pre- and post-test surveys and open-ended questions to gauge awareness, understanding, and perceptions of generative AI. While quantitative data revealed a general awareness of AI, it also exposed knowledge gaps regarding specific applications and implications for HR practices. Qualitative findings illustrated a spectrum of perceptions, with some administrators enthusiastic about AI's potential to streamline tasks and enhance employee experiences. In contrast, others expressed concerns about privacy, ethics, and job security. Guided by the Technology Acceptance Model, the study emphasizes the importance of perceived usefulness and ease of use in driving AI. Findings underscore the need for targeted training and professional development initiatives to equip HR administrators with the knowledge and skills necessary to integrate generative AI effectively. Recommendations include developing AI literacy programs, establishing ethical guidelines for AI implementation, and incorporating AI-related competencies into HR practices. This study provides valuable insights for higher education institutions nationwide as they navigate the complexities of integrating generative AI into their human resource management strategies. [The dissertation citations contained here are published with the permission of ProQuest LLC. Further reproduction is prohibited without permission. Copies of dissertations may be obtained by Telephone (800) 1-800-521-0600. Web page: http://www.proquest.com/en-US/products/dissertations/individuals.shtml.]",ProQuest LLC,"Ed.D. Dissertation, Tennessee State University",,http://eric.ed.gov/?id=ED664493,Human Resources; Universities; Administrator Attitudes; Personnel Management; Personnel Directors; Artificial Intelligence; Knowledge Level; Technological Literacy; Educational Needs; Professional Development; Technology Uses in Education,,Dissertations/Theses - Doctoral Dissertations
EJ1427049,Cybersecurity Education in the Age of Artificial Intelligence: A Novel Proactive and Collaborative Learning Paradigm,Jin Wei-Kocsis; Moein Sabounchi; Gihan J. Mendis; Praveen Fernando; Baijian Yang; Tonglin Zhang,2024,"Contribution: A novel proactive and collaborative learning paradigm was proposed to engage learners with different backgrounds and enable effective retention and transfer of the multidisciplinary artificial intelligence (AI)-cybersecurity knowledge. Specifically, the proposed learning paradigm contains: 1) an immersive learning environment to motivate the students for exploring AI/ machine learning (ML) development in the context of real-world cybersecurity scenarios by constructing learning models with tangible objects and 2) a proactive education paradigm designed with the use of collaborative learning activities based on game-based learning and social constructivism. Background: Increasing evidence shows that AI techniques can be manipulated, evaded, and misled, which can result in new and profound security implications. There is an education and training gap to foster a qualified cyber-workforce that understands the usefulness, limitations, and best practices of AI technologies in the cybersecurity domain. Efforts have been made to incorporate a comprehensive curriculum to meet the demand. There still remain essential challenges for effectively educating students on the interaction of AI and cybersecurity. Intended Outcomes: A novel proactive and collaborative learning paradigm is proposed to educate and train a qualified cyber-workforce in this new era where security breaches, privacy violations, and AI have become commonplace. Application Design: The development of this learning paradigm is grounded in the pedagogical approaches of technology-mediated learning and social constructivism. Findings: Although the research work is still ongoing, the prototype learning paradigm has shown encouraging results in promoting the learners' engagement in applied AI learning.",IEEE Transactions on Education,v67 n3 p395-404 2024,10.1109/TE.2023.3337337,http://eric.ed.gov/?id=EJ1427049,Computer Security; Artificial Intelligence; Interdisciplinary Approach; Models; Learning Activities; Educational Games; Constructivism (Learning); Simulation; Cooperation; Computer Science Education; Information Technology,English,Journal Articles; Reports - Research
EJ1490144,Artificial Intelligence and Block-Based Coding in Science Education: Graduate Student Insights,Ece Ceren Özer; Aleyna Özdemir; Feyza Ünsal; Semra Benzer,2025,"This qualitative case study explored graduate students' views (n=6) on AI-supported applications and an AI-enabled blockbased coding tool (PictoBlox) in science education. Data were gathered over a 39-hour implementation via a semi-structured interview form and screen captures from the activities, and analyzed with content analysis. Participants perceived AI tools as time-saving and pedagogically enriching, while emphasizing ethics and data security. PictoBlox's AI add-ons (e.g., natural language processing, image processing, machine learning) were seen to support concretization, visualization, and interactive content creation. Reported challenges concerned activity design and block creation skills. We discuss implications for teacher education, including targeted training on AI-supported lesson planning and assessment design, and guidance on ethical/data-protection practices. Limitations (convenience sampling, small n, self-report) constrain generalizability. Future research should replicate with larger, diverse cohorts and triangulate with classroom observations.",Science Insights Education Frontiers,v31 n1 p4977-5004 2025,,http://eric.ed.gov/?id=EJ1490144,Graduate Students; Student Attitudes; Artificial Intelligence; Technology Uses in Education; Coding; Science Education; Program Effectiveness; Barriers; Affordances; Foreign Countries,English,Journal Articles; Reports - Research
EJ1465537,The Effectiveness of Artificial Intelligence in Classroom Teaching,Seema P. V.,2024,"Artificial intelligence (AI) has become an important force in many fields, including education. Using Artificial Intelligence in classrooms can improve learning, make education more personal, and help teachers in their work. AI can change education by offering personalized learning, making assessments easier, and supporting teachers. It can also make education more accessible and improve results. However, it is important to address issues like fairness, privacy, and resistance to ensure that all students benefit from Artificial Intelligence. Moving forward, it will be essential for teachers and Artificial Intelligence to work together to shape the future of education. Artificial Intelligence also supports professional development by encouraging collaboration among educators and providing data-driven insights into teaching practices. Peer collaboration platforms and Artificial Intelligence tools for reflection help teachers grow professionally, creating communities that promote ongoing improvement. The use of Artificial Intelligence in education encourages creative thinking, critical thinking, and problem-solving skills in students. It also helps individuals develop the skills they will need in the future to choose a suitable career and become independent, productive members of society. Future research should focus on evaluating the long-term impacts of Artificial Intelligence in diverse educational settings, exploring ethical considerations, and developing best practices for integrating Artificial Intelligence tools. Collaboration between researchers, educators, and technologists is essential to create evidence-based frameworks that ensure equitable and effective Artificial Intelligence implementation in education.",Journal of Educational Technology,v21 n3 p1-9 2024,,http://eric.ed.gov/?id=EJ1465537,Artificial Intelligence; Technology Uses in Education; Faculty Development; Equal Education; Privacy; Resistance to Change; Individualized Instruction; Intelligent Tutoring Systems; Teacher Attitudes; Peer Relationship; Cooperation,English,Journal Articles; Reports - Evaluative
