paper_id,doi,source,title,authors,year,journal,abstract,decision,confidence,reasons,exclusion_criteria,screener,screening_date,pdf_url,url,is_open_access,citation_count
scopus_2-s2.0-105025027694,10.1016/j.jik.2025.100912,scopus,AI adoption in HR: AI trust in digitally lagging organisations,"['Zoppelletto, A.', 'Orlandi, L.B.', 'Veglianti, E.', 'Rossignoli, C.']",2026,Journal of Innovation and Knowledge,"Artificial intelligence (AI) holds transformative potential for human resources (HR), yet its adoption remains limited, particularly within the broader context of digital transformation (DT). Although trust is widely recognised as a critical enabler of AI adoption, little is known about the organisational conditions under which this trust develops, especially in firms with low digital maturity. This study investigates how configurations of organisational factors, namely technology, digital skill",include,0.9,"The paper focuses on AI adoption in HR, which meets the first inclusion criterion. | The study investigates trust in AI adoption, which implies consideration of ethical implications such as fairness, transparency, and accountability, meeting the second inclusion criterion. | The paper is published in an academic journal and presents a methodological approach with empirical analysis, indicating it is an academic/scholarly source, meeting the third inclusion criterion.",,ai:llama-3.3-70b-versatile,2026-02-02T17:27:49.520198,,https://doi.org/10.1016/j.jik.2025.100912,False,0
scopus_2-s2.0-105025455952,10.1016/j.ipm.2025.104506,scopus,"Does fair ranking lead to fair recruitment outcomes? A study of interventions, interfaces, and interactions","['Fabris, A.', 'Rus, C.', 'Saldivar, J.', 'Gatzioura, A.', 'Biega, A.J.', 'Castillo, C.']",2026,Information Processing and Management,"Personnel recruitment is increasingly mediated by Applicant Tracking Systems (ATS), which rank candidates for job positions, making them a central decision-support tool in modern Human Resources (HR) processes. Often framed as an information retrieval (IR) problem, the ranking of candidates in ATS is typically driven by relevance to the job position, with algorithms sorting applicants according to a set of predefined criteria. In recent years, fairness-aware ranking methods have emerged to mitig",include,0.9,"The paper focuses on AI applications in HR contexts, specifically on fair ranking in recruitment processes. | It addresses ethical implications, such as bias and fairness, in the context of Applicant Tracking Systems (ATS). | The paper is an academic/scholarly source, published in a reputable journal, and presents empirical research with theoretical contributions.",,ai:llama-3.3-70b-versatile,2026-02-02T17:27:53.510008,,https://doi.org/10.1016/j.ipm.2025.104506,False,0
scopus_2-s2.0-105025579118,10.1016/j.techfore.2025.124470,scopus,Responsible AI and employee service innovation behavior: A sequential mediation model of AI self-efficacy and AI crafting,"['Xu, Y.', 'Xie, P.', 'Naeem, R.M.', 'Almugren, I.', 'Hameed, Z.', 'Agarwal, S.']",2026,Technological Forecasting and Social Change,"While the use of artificial intelligence (AI) has become an effective tool for transforming individuals and organizations, adopting a responsible approach to AI systems is imperative. Drawing on conservation of resources theory and social learning theory, this study examines how responsible AI enhances employees' service innovation behavior via employee AI self-efficacy and employee AI crafting, with a particular focus on the moderating role of leader AI crafting. We tested the proposed relation",include,0.9,"The paper focuses on AI applications in an HR context, specifically service innovation behavior among employees. | It addresses ethical implications by discussing 'responsible AI' and its impact on employee behavior. | The paper is an academic/scholarly source, published in a reputable journal, and presents empirical research with theoretical contributions.",,ai:llama-3.3-70b-versatile,2026-02-02T17:28:00.466845,,https://doi.org/10.1016/j.techfore.2025.124470,False,0
scopus_2-s2.0-105020590664,10.1016/j.techsoc.2025.103102,scopus,Institutional complexity and technology governance: The societal diffusion of AI recruitment in South Korea,"['Lim, H.-M.', 'Lee, C.']",2026,Technology in Society,"The accelerated adoption of artificial intelligence (AI) in hiring is prompting questions about how national institutions and policy initiatives shape societal acceptance of AI-driven selection tools. In South Korea, a state-led push for fair hiring, via blind recruitment, coexists uneasily with employers’ drive for efficiency amid high applicant pools. Drawing on institutional complexity and technology governance perspectives, we examine how government-driven fairness logic and firm-level effic",include,0.9,"The paper focuses on AI applications in recruitment, which is an HR context. | It addresses ethical implications, specifically fairness and efficiency in AI-driven hiring practices. | The paper is from an academic/scholarly source, as indicated by the publication in a reputable journal (Elsevier Ltd) and the use of research methods (Kaplan–Meier estimation and Cox proportional hazards models).",,ai:llama-3.3-70b-versatile,2026-02-02T17:28:04.776562,,https://doi.org/10.1016/j.techsoc.2025.103102,False,0
scopus_2-s2.0-105013388324,10.1177/15344843251359149,scopus,The Competence Paradox: Rethinking Goal-Setting in the Age of Algorithmic Management,"['Ofem, O.E.']",2026,Human Resource Development Review,"Algorithmic dashboards promise sharper performance yet often erode autonomy and trust—a contradiction that Goal-Setting Theory (GST) cannot explain. Guided by paradox theory, this study constructs the first competence-paradox model for AI-mediated work. Method: A PRISMA-ScR review across Scopus, Web of Science, and PsycINFO (n = 82) was followed by qualitative meta-synthesis. Specifically, results reveal four mutually reinforcing tensions: metric specificity versus discretion, cadence versus psy",include,0.9,"The paper focuses on AI-mediated work in HR contexts, specifically performance management and learning & development. | It addresses ethical implications such as autonomy, trust, and psychological safety. | The paper is an academic/scholarly source, presenting a research study with a clear methodology and results.",,ai:llama-3.3-70b-versatile,2026-02-02T17:28:07.592016,,https://doi.org/10.1177/15344843251359149,False,0
scopus_2-s2.0-105027867943,10.1111/ijsa.70045,scopus,Transparency and Trust in Simple Algorithmic Hiring Procedures,"['Niessen, A.S.M.', 'Neumann, M.']",2026,International Journal of Selection and Assessment,"It is well established that combining information via a simple algorithm (mechanical combination) results in better hiring decisions than a holistic combination. Nevertheless, mechanical combination is perceived negatively and rarely used in practice. Transparency is an often-mentioned determinant of algorithmic trust in the AI-literature, but has hardly received attention regarding mechanical judgment. Therefore, in four studies (total N = 1205), we experimentally investigated the effect of var",include,0.9,"The paper focuses on AI applications in HR contexts, specifically algorithmic hiring procedures. | It addresses ethical implications, including transparency and trust in algorithmic decision-making. | The paper is an academic/scholarly source, published in a reputable journal, and presents empirical research with quantitative and thematic analyses.",,ai:llama-3.3-70b-versatile,2026-02-02T17:28:09.703582,,https://doi.org/10.1111/ijsa.70045,False,0
scopus_2-s2.0-105026211795,10.1177/00187267251403902,scopus,Problematizing the role of artificial intelligence in hiring and organizational inequalities: A multidisciplinary review,"['Hughes, K.D.', 'Konnikov, A.', 'Denier, N.', 'Hu, Y.']",2026,Human Relations,"What are the implications of the growing use of artificial intelligence (AI) in recruitment and hiring for organizational inequalities? While advocates suggest that AI is a groundbreaking tool that can enhance hiring precision, efficiency, diversity and fit, critics raise serious concerns around bias, fairness, and privacy. This review article critically advances this debate by drawing on diverse scholarship across computing and data sciences; human resource, management, and organization studies",include,0.9,"The paper focuses on AI applications in recruitment and hiring, which is a key area of HR. | The paper addresses ethical implications and concerns, such as bias, fairness, and privacy, in the context of AI in HR. | The paper is an academic/scholarly source, as evidenced by its publication in a peer-reviewed journal and its use of theoretical frameworks and interdisciplinary approaches.",,ai:llama-3.3-70b-versatile,2026-02-02T17:28:11.752312,,https://doi.org/10.1177/00187267251403902,False,0
scopus_2-s2.0-105026012682,10.1111/ijsa.70039,scopus,“It Feels Wrong”: Understanding Reactions to Artificial Intelligence as a Decision-Maker in Selection Through the Lens of Moral Foundations Theory,"['Mirowska, A.', 'Arsenyan, J.']",2026,International Journal of Selection and Assessment,"The adoption of artificial intelligence (AI) decision-making in the workplace poses a moral issue beyond mere technology acceptance, considering the potential consequences of algorithmic management to individuals' professional well-being. In view of its pluralistic approach to human morality, we adopt Moral Foundations Theory (MFT) as our theoretical lens through which to study reactions to AI-led decision-making in selection. Using a qualitative approach, we explore individuals' reactions to th",include,0.9,"The paper focuses on AI decision-making in selection, which is a HR context. | The paper addresses ethical implications, specifically moral foundations and their relation to AI-led decision-making. | The paper is published in an academic journal and uses a qualitative approach, indicating it is a scholarly source.",,ai:llama-3.3-70b-versatile,2026-02-02T17:28:12.980706,,https://doi.org/10.1111/ijsa.70039,False,0
scopus_2-s2.0-105024709463,10.1016/j.actpsy.2025.106074,scopus,"Psychological drivers of employee-ai collaboration and career sustainability: The role of trust, threat, and protean orientation","['Duong, N.-H.', 'Hung, H.N.', 'An, N.H.', 'Bao, L.G.', 'Nguyen, T.T.', 'Quang, D.X.']",2026,Acta Psychologica,"This study examines how employees' perceptions of AI trust and AI threat shape their collaboration with AI and subsequent career sustainability, grounded in Protection Motivation Theory and Person–Environment Fit Theory. Using data collected from 532 employees through an online survey, the relationships among constructs were analyzed using PLS-SEM. Results reveal that trust in AI exerts a positive and significant influence on employee–AI collaboration, while threat perception indirectly affects ",include,0.9,"The paper focuses on AI collaboration in the context of HR, specifically career sustainability and employee-AI collaboration. | The study addresses ethical implications, such as trust and threat perception, which are relevant to AI ethics in HR. | The paper is an academic/scholarly source, using theoretical frameworks and empirical data to contribute to the field.",,ai:llama-3.3-70b-versatile,2026-02-02T17:28:16.071431,,https://doi.org/10.1016/j.actpsy.2025.106074,False,0
scopus_2-s2.0-105022420085,10.1007/s42001-025-00433-4,scopus,Auditing the bias of conversational AI systems in occupational recommendations: a novel approach to bias quantification via Holland’s theory,"['Gelling, J.', 'Urman, A.', 'Hannak, A.']",2026,Journal of Computational Social Science,"Recent research has utilized resumes and occupational profiles to identify and quantify discrimination within conversational AI systems. We extend this concept by proposing a novel approach to quantification which leverages Holland’s theory of occupational interests to provide a more holistic interpretation of discrimination in these systems. Building upon the seminal work of Bertrand and Mullainathan (Am Econ Rev 94(4):991–1013, 2004), which examined racial discrimination in hiring through a na",include,0.9,"The paper focuses on AI applications in HR contexts, specifically in occupational recommendations and job recruitment. | It addresses ethical implications, such as bias and fairness, in AI-driven decision-making processes. | The paper appears to be an academic/scholarly source, presenting a novel approach to quantifying bias in conversational AI systems.",,ai:llama-3.3-70b-versatile,2026-02-02T17:28:21.106282,,https://doi.org/10.1007/s42001-025-00433-4,False,0
scopus_2-s2.0-105026332076,10.4324/9781003716617-3,scopus,Leveraging AI in recruitment and talent management,"['Priyadarshini, N.', 'Begum, N.']",2026,Navigating Digital Disruption: Strategies for sustainable business management,"In the field of hiring and talent management, artificial intelligence (AI) has become a game-changer, providing creative ways to improve decision-making, optimize workforce strategies, and streamline procedures. Examining its uses in candidate outreach, screening, assessment, and selection, the research examines the complex effects of AI on the recruitment environment. AI has completely changed human resource procedures by being incorporated into talent management and recruitment. It investigate",include,0.9,"The paper focuses on AI applications in recruitment and talent management, which is a relevant HR context. | The abstract mentions ethical issues and technical difficulties, indicating that the paper addresses ethical implications or concerns. | The paper appears to be an academic/scholarly source, as it uses a mixed-methods research approach and provides recommendations for further research.",,ai:llama-3.3-70b-versatile,2026-02-02T17:28:27.026175,,https://doi.org/10.4324/9781003716617-3,False,0
scopus_2-s2.0-105027566685,10.37868/hsd.v8i1.1629,scopus,The future of sustainable human resource efficiency: A study on the impact of emerging digital tools,"['Al-Maaitah, D.A.', 'Algraibeh, K.M.', 'Mahmoud, M.H.', 'Albatayneh, A.']",2026,Heritage and Sustainable Development,"This article examines the impact of data analytics, artificial intelligence (AI) technology, and cloud computing on HR efficiency of Jordanian organizations, with emphasis on the moderating effects of information quality. A quantitative approach was utilized, and structured surveys were distributed to HR experts and HR managers who work in different industrial sectors in Jordan. Data from 415 valid respondents were statistically analyzed rigorously using the statistical software SPSS and AMOS, a",include,0.9,"The paper focuses on the impact of AI technology on HR efficiency in Jordanian organizations, which meets the first inclusion criterion. | The paper addresses the importance of investing in AI ethics, data governance, and cloud security measures, which meets the second inclusion criterion. | The paper is published in a scholarly journal and presents empirical research, which meets the third inclusion criterion.",,ai:llama-3.3-70b-versatile,2026-02-02T17:28:28.032686,,https://doi.org/10.37868/hsd.v8i1.1629,False,0
scopus_2-s2.0-105028421429,10.47750/QAS/27.210.46,scopus,Design and Validation of an Explainable Artificial Intelligence–Based Decision Intelligence Model for Cyber Risk–Aware Quality Systems and Ethical Human Resource Management: Investigating the Moderating Influence of Corporate Social Responsibility in Digitally Transformed Organizations,"['M.', 'C.L.', 'S.', 'Mamadiyarov, Z.', 'Naveen, S.', 'Nematovich, K.I.', 'F.']",2026,Quality - Access to Success,"Organisations that are digitally transformed are encountering more compounding complexity on how to manage cyber risk exposure, quality system resilience, and ethical human resources. This paper contains a hypothesis and a proven Artificial Intelligence-based Decision Intelligences Model to combine cyber risk-conscious quality systems with transparent, equitable, and responsible HR decision-making. The model includes explainability layers based on SHAP, rule-based inference to facilitate underst",include,0.9,"The paper focuses on AI applications in HR contexts, specifically on decision-making and ethical HR practices. | It addresses ethical implications, such as transparency, fairness, and accountability, in the context of HR decision-making. | The paper is an academic/scholarly source, presenting an empirical study and using structural equation modeling (SEM) to validate its findings.",,ai:llama-3.3-70b-versatile,2026-02-02T17:28:37.889149,,https://doi.org/10.47750/QAS/27.210.46,False,0
scopus_2-s2.0-105028246843,10.1177/23294906251406942,scopus,How Organizations Can Integrate AI-Generated Positive Communication Into Recruitment Efforts for Gen Z Employees,"['Smith, S.A.', 'Strawser, M.G.']",2026,Business and Professional Communication Quarterly,"This study examines the role of positive communication in AI-generated recruitment messaging and its influence on Generation Z job seekers. Drawing on positive communication scholarship (Mirivel & Fuller, 2024) and the Human Needs Approach (Socha & Beck, 2015), we explore how AI-generated job descriptions shape anticipatory socialization and perceptions of workplace culture. Using qualitative focus groups, we identify key themes related to authenticity, engagement, and the fulfillment of fundame",include,0.9,"The paper focuses on AI-generated recruitment messaging, which is an HR context (recruitment). | The study addresses ethical implications, such as authenticity, transparency, and trust in AI-generated content. | The paper is from an academic/scholarly source, as indicated by the copyright notice from the Association for Business Communication.",,ai:llama-3.3-70b-versatile,2026-02-02T17:28:41.052612,,https://doi.org/10.1177/23294906251406942,False,0
scopus_2-s2.0-105027859313,10.1007/s10869-025-10087-8,scopus,In the Blink of an AI: Exploring Large Language Models’ Capability to Infer Traits From LinkedIn,"['Härtel, T.M.']",2026,Journal of Business and Psychology,"Large language models (LLMs) are increasingly promoted to practitioners as tools for inferring personality traits from LinkedIn profiles, promising scalable and innovative assessments. Yet, the psychometric foundations of such inferences remain untested. Building on the lens model, we presented 406 LinkedIn profiles to Microsoft Copilot (powered by GPT-4) twice, using single-shot prompting to assess personality (Big Five, narcissism) and intelligence. Inferences showed satisfactory intra-rater r",include,0.9,"The paper focuses on AI applications in HR contexts, specifically the use of large language models for inferring personality traits from LinkedIn profiles. | The paper addresses ethical implications and concerns, such as bias, fairness, and validity of AI-based trait inferences, which are relevant to HR practices. | The paper is an academic/scholarly source, presenting empirical research and theoretical contributions to the field of AI ethics in HR.",,ai:llama-3.3-70b-versatile,2026-02-02T17:28:48.992215,,https://doi.org/10.1007/s10869-025-10087-8,False,0
scopus_2-s2.0-105027623885,10.1201/9781003591078-6,scopus,Augmenting Humanity Through Strategic Artificial Intelligence Applications in DEIB,"['Perdana, A.', 'Puspita, S.S.']",2026,Inclusive Futures: Lessons from Emerging Contexts on Building Equitable Digital Systems,"Organizations continue to struggle with persistent disparities in workforce representation and inclusion, despite substantial investments in traditional diversity initiatives. This chapter examines how artificial intelligence (AI) may transform organizational approaches to diversity, equity, inclusion, and belonging (DEIB) by enhancing procedural justice and addressing unconscious biases. We developed a sociotechnical framework that integrates justice theories, critical perspectives, and psychol",include,0.9,"The paper focuses on AI applications in HR contexts, specifically in diversity, equity, inclusion, and belonging (DEIB) | It addresses ethical implications and concerns, such as bias, fairness, and transparency | The paper is an academic/scholarly source, as indicated by the chapter structure and the presence of contributors | The paper analyzes strategic applications of AI across the employee lifecycle, which is relevant to HR contexts",,ai:llama-3.3-70b-versatile,2026-02-02T17:28:53.590483,,https://doi.org/10.1201/9781003591078-6,False,0
scopus_2-s2.0-105027541198,10.1007/978-3-031-95310-1_117,scopus,Regulating AI in Labor Relations: A Governance Framework for the Future Workforce,"['Murshed, A.A.', 'Alrahamneh, A.', 'Alhalalmeh, A.']",2026,"Studies in Systems, Decision and Control","The paper attempts to consider the process of integration of Artificial Intelligence (AI) into labor relations and the development of a governance framework to cope with the future workforce. While AI continues transforming different sectors—healthcare, education, retail, etc.—its process of integration into human resource management and labor relations is no small task. Promises to get rid of tedious tasks at work and improve productivity are weighed against fears of job displacement and too fa",include,0.9,"The paper focuses on AI integration into labor relations and human resource management, which meets the first inclusion criterion. | The paper addresses ethical implications and concerns, such as regulation, social impacts, and workers' rights, which meets the second inclusion criterion. | The paper is an academic/scholarly source, as indicated by the publisher and the mixed-methods methodology, which meets the third inclusion criterion.",,ai:llama-3.3-70b-versatile,2026-02-02T17:28:58.906807,,https://doi.org/10.1007/978-3-031-95310-1_117,False,0
scopus_2-s2.0-105027537973,10.1177/01672533251414497,scopus,"Unravelling the impact of artificial intelligence on employee work: A triangulated approach using SPAR, ADO framework, and bibliometric analysis","['Rani, P.', 'Bagri, K.', 'Yadav, P.', 'Dahiya, S.']",2026,Human Systems Management,"Purpose: This study investigates how artificial intelligence (AI) shapes employee work, emphasizing both the opportunities it creates and the challenges it introduces in modern organizations. Methodology: A systematic literature review (SLR) using the SPAR-4-SLR protocol and bibliometric analysis, complemented by content analysis of highly cited studies. The Antecedents–Decisions–Outcomes (ADO) framework was applied to provide a structured understanding of AI adoption and its effects on employee",include,0.9,"The paper focuses on the impact of AI on employee work, which is a key aspect of HR management. | The study addresses ethical implications such as technostress, job insecurity, and role ambiguity, which are relevant to AI ethics in HR contexts. | The paper is an academic/scholarly source, as evidenced by its methodology, literature review, and theoretical framework.",,ai:llama-3.3-70b-versatile,2026-02-02T17:29:00.025105,,https://doi.org/10.1177/01672533251414497,False,0
scopus_2-s2.0-105027245524,10.1007/s11301-025-00580-y,scopus,"Artificial Intelligence (AI) in human resource management (HRM): a systematic review of its dual impact on diversity, equity, and inclusion (DEI)","['Naoum, R.F.', 'Szakadáti, T.', 'Balogh, G.']",2026,Management Review Quarterly,"Artificial Intelligence (AI) is transforming human resource management (HRM), introducing new efficiencies in recruitment, evaluation, and decision-making. However, its effect on diversity, equity, and inclusion (DEI) remains debated. This systematic literature review (SLR) compiles findings from 43 peer-reviewed articles published between 2016 and 2024 to critically assess AI’s dual role in HRM as both a potential promoter of fairness and a source of embedded bias. Rooted in ethical principles ",include,0.9,"The paper focuses on AI applications in HR contexts, specifically addressing its dual impact on diversity, equity, and inclusion (DEI). | The paper explicitly addresses ethical implications and concerns, such as bias, fairness, transparency, and accountability. | The paper is an academic/scholarly source, presenting a systematic literature review of 43 peer-reviewed articles.",,ai:llama-3.3-70b-versatile,2026-02-02T17:29:04.134565,,https://doi.org/10.1007/s11301-025-00580-y,False,0
scopus_2-s2.0-105027009407,10.1007/978-3-032-02056-7_34,scopus,Organisational Learning Through AI: Transforming Opportunities in Learning and Development,"['Majeed, A.', 'Ravindran, D.']",2026,"Studies in Systems, Decision and Control","The integration of artificial intelligence (AI) into organizational learning and development (L&D) has revolutionized employee learning by enabling personalized, scalable and data-driven solutions. This paper explores the transformative role of artificial intelligence in reshaping traditional training paradigms and focuses on the opportunities, challenges and best practices associated with its implementation. Key opportunities include personalized training programs, improved needs assessment, co",include,0.9,"The paper focuses on AI applications in the HR context of learning and development | It addresses ethical implications such as privacy concerns and algorithmic bias | The paper is from an academic/scholarly source, as indicated by the copyright notice from Springer Nature Switzerland AG",,ai:llama-3.3-70b-versatile,2026-02-02T17:29:06.048112,,https://doi.org/10.1007/978-3-032-02056-7_34,False,0
scopus_2-s2.0-105023842892,10.1016/j.jbusres.2025.115812,scopus,The bright side of AI in hiring: Collaborating with algorithms supports ethical decision-making,"['Leszczyński, G.', 'Gaczek, P.', 'Ławrynowicz, M.']",2026,Journal of Business Research,"In this study, we use principal-agent theory and attribution theory to examine how AI’s support during ethical violations in the hiring process influences decision-making and how it can be explained by the perception of who is responsible for that violation. In three between-subject experiments, we exposed managers to vignettes describing an AI or human norm violation during the hiring process. The results show a bright side of AI arising from the finding that managers might be more ethical when",include,0.9,"The paper focuses on AI applications in the hiring process, which is a key HR context. | The study addresses ethical implications, specifically how AI support influences decision-making and responsibility attribution during ethical violations. | The paper is published in an academic journal and appears to be a scholarly source with empirical contributions.",,ai:llama-3.3-70b-versatile,2026-02-02T17:29:17.317609,,https://doi.org/10.1016/j.jbusres.2025.115812,False,0
