paper_id,doi,source,title,authors,year,journal,abstract,decision,confidence,reasons,exclusion_criteria,screener,screening_date,pdf_url,url,is_open_access,citation_count
scopus_2-s2.0-105023214267,10.3390/admsci15110412,scopus,"A Cross-Disciplinary Academic Evaluation of Generative AI Models in HR, Accounting, and Economics: ChatGPT-5 vs. DeepSeek","['Bou Zakhem, N.', 'Bou Diab, M.', 'Tahan, S.']",2025,Administrative Sciences,"As generative AI is being further integrated into academic and professional contexts, there is a demonstrable need to determine the performance of generative AI within specific, applied domains. This research compares the performances of ChatGPT-5 and DeepSeek on tasks in the domains of accounting, economics, and human resources. The models were provided two prompts per domain, and outputs were evaluated by academics across five criteria: accuracy, clarity, conciseness, systematic reasoning, and",uncertain,0.6,"The paper focuses on generative AI models in HR, which meets the first inclusion criterion. | The paper evaluates the performance of AI models, but it does not explicitly address ethical implications or concerns, which is the second inclusion criterion. | The paper is an academic/scholarly source, which meets the third inclusion criterion. | The paper does not provide a clear discussion on ethical implications, such as bias, fairness, or transparency, in the context of HR.",,ai:llama-3.3-70b-versatile,2026-02-02T17:32:03.482048,,https://doi.org/10.3390/admsci15110412,False,0
scopus_2-s2.0-105024178654,10.1108/978-1-83662-906-120251011,scopus,Talent Acquisition in the Age of Artificial Intelligence,"['Akduman, G.', 'Hatipoğlu, Z.']",2025,The Future of Work and Work Design: Research and Practice,"In today's rapidly changing and evolving business world, the need to provide better, higher quality, and faster production and service directs institutions to develop faster and create innovative business models. Digitalization significantly transforms business life by accelerating work and facilitating data collection and management processes. Human resources (HR) management is also affected by this transformation as the world changes rapidly. While institutions compete to recruit the most qual",uncertain,0.6,"The paper focuses on AI applications in talent acquisition, which is an HR context. | The abstract mentions the potential of AI to eliminate human-related errors such as bias, which implies a discussion of ethical implications. | However, it is unclear from the abstract whether the paper provides a thorough analysis of ethical implications or concerns.",,ai:llama-3.3-70b-versatile,2026-02-02T17:32:40.063321,,https://doi.org/10.1108/978-1-83662-906-120251011,False,0
scopus_2-s2.0-105023457885,10.1108/978-1-83662-982-520251015,scopus,Transformative Impacts of Artificial Intelligence on Human Resource Management: A Comprehensive Review and Analysis,"['Singh, A.', 'Jahnavi, M.', 'Bung, P.', 'Reddy, N.N.', 'Crastaf, L.']",2025,Impact of Artificial Intelligence on Data-Driven Decision Making in HR for Revolutionizing Organizational Growth,"Purpose of the study: The integration of artificial intelligence (AI) into human resource management (HRM) has transformed organizational approaches to talent acquisition, employee development, and decision-making. This study aims to bridge the gap in understanding the implications and challenges of AI adoption in HRM. It explores the current state of AI implementation, identifies automated HRM tasks, and examines obstacles to effective integration. While existing literature emphasizes the benef",uncertain,0.6,"The paper focuses on AI applications in HR contexts, which meets the first inclusion criterion. | The abstract mentions 'implications and challenges' of AI adoption in HRM, but it does not explicitly address ethical implications or concerns, which is the second inclusion criterion. | The paper appears to be an academic/scholarly source, which meets the third inclusion criterion.",,ai:llama-3.3-70b-versatile,2026-02-02T17:32:51.469937,,https://doi.org/10.1108/978-1-83662-982-520251015,False,0
scopus_2-s2.0-105023458734,10.4018/979-8-3373-2135-6.ch006,scopus,Leveraging Artificial Intelligence for Transforming Talent Acquisition in Modern Organisations: A Meta-Analysis of Recent Empirical Studies,"['Qamar, M.', 'Mishra, D.']",2025,Turning Human Resource Analytics Into Actionable Strategies,"Various Artificial Intelligence technologies like Machine Learning (ML), Natural Language Processing (NLP), Predictive Analytics, and Robotics Process Automation (RPA) have changed the ongoing paradigm in the human resource acquisition and management process. The introduction of various artificial intelligence tools has empowered recruiters to automate multiple tasks on certain recruitment-based platforms. The adoption of AI-based recruitment tools and predictive analytics for talent acquisition",uncertain,0.6,"The paper focuses on AI applications in HR contexts, specifically talent acquisition, which meets the first inclusion criterion. | The abstract mentions the potential to 'reduce bias', which implies a discussion of ethical implications, but it is unclear if the paper thoroughly addresses ethical concerns. | The paper appears to be an academic/scholarly source, meeting the third inclusion criterion.",,ai:llama-3.3-70b-versatile,2026-02-02T17:33:16.727684,,https://doi.org/10.4018/979-8-3373-2135-6.ch006,False,0
scopus_2-s2.0-105015333208,10.1002/hrdq.70003,scopus,"Ethical AI in Social Science Research: The Need for Responsible Design, Reporting, and Review for HRD and Beyond","['Egan, T.', 'Ghosh, R.', 'Kim, S.']",2025,Human Resource Development Quarterly,[No abstract available],uncertain,0.6,"The title suggests a focus on ethical AI in social science research, which may be relevant to HR contexts | The absence of an abstract makes it difficult to determine the paper's specific focus and relevance to AI ethics in HRM | The title mentions 'HRD' (Human Resource Development), which implies a potential connection to HR contexts",,ai:llama-3.3-70b-versatile,2026-02-02T17:34:40.607397,,https://doi.org/10.1002/hrdq.70003,False,1
scopus_2-s2.0-105017948514,10.4018/979-8-3373-6516-9.ch007,scopus,Virtual Reality for Interview Simulations,"['Venkadesh, P.', 'Ninisha Nels, S.', 'Divya, S.V.', 'Shiny, K.V.', 'Sudhan, M.']",2025,Emerging Technologies for Recruitment Strategy and Practice,"Virtual Reality (VR) is transforming recruitment by offering immersive, interactive simulations that replicate real job scenarios. Unlike traditional interviews, VR enables recruiters to assess behavioral traits, decision-making, communication, and cultural fit with greater precision. Powered by Artificial Intelligence (AI) and Big Data, VR systems analyze verbal and non-verbal cues to predict job performance, reduce bias, and improve hiring outcomes. Industries such as emergency medicine, softw",uncertain,0.6,"The paper focuses on AI applications in HR contexts, specifically recruitment and interview simulations. | The paper mentions the potential to 'reduce bias' which implies some consideration of ethical implications. | The paper appears to be from an academic/scholarly source.",,ai:llama-3.3-70b-versatile,2026-02-02T17:35:45.448629,,https://doi.org/10.4018/979-8-3373-6516-9.ch007,False,0
scopus_2-s2.0-105014383390,10.3390/bs15081046,scopus,Trust the Machine or Trust Yourself: How AI Usage Reshapes Employee Self-Efficacy and Willingness to Take Risks,"['Han, Z.', 'Song, G.', 'Zhang, Y.', 'Li, B.']",2025,Behavioral Sciences,"As artificial intelligence (AI) technology becomes increasingly widespread in organizations, its impact on individual employees’ psychology and behavior has garnered growing attention. Existing research primarily focuses on AI’s effects on organizational performance and job design, with limited exploration of its mechanisms influencing individual employees, particularly in the critical area of risk-taking behavior, which is essential to organizational innovation. This research develops a moderat",uncertain,0.6,"The paper focuses on AI usage in an organizational context, which may be related to HR | The paper explores the impact of AI on employee psychology and behavior, which could have implications for HR practices | The paper does not explicitly address ethical implications or concerns, but it does discuss the effects of AI on employee self-efficacy and willingness to take risks, which could be related to ethical considerations",,ai:llama-3.3-70b-versatile,2026-02-02T17:35:57.234565,,https://doi.org/10.3390/bs15081046,False,3
scopus_2-s2.0-105001652021,10.1007/s11205-025-03544-7,scopus,Multilevel Modeling of Training Needs in Artificial Intelligence,"['Distefano, V.', 'Maggio, S.', 'De Iaco, S.']",2025,Social Indicators Research,"Nowadays, Artificial Intelligence (AI) is playing a rapidly increasing role in several fields of research and in almost all sectors of real life. However, few studies have assessed the effects of AI applications on training needs. This paper proposes an innovative multilevel modeling in order to investigate Awareness, Attitude and Trust towards AI and their reflections on learning needs. In particular, it is shown how a machine learning variable selection algorithm can support the definition of ",uncertain,0.6,"The paper discusses AI applications and their impact on training needs, which is related to HR contexts such as learning and development. | The paper proposes a multilevel modeling approach to investigate awareness, attitude, and trust towards AI, which may have implications for ethical concerns such as bias and fairness. | However, the paper does not explicitly address ethical implications or concerns in the abstract, making it unclear whether it meets the inclusion criteria.",,ai:llama-3.3-70b-versatile,2026-02-02T17:37:01.360596,,https://doi.org/10.1007/s11205-025-03544-7,False,0
scopus_2-s2.0-85198668633,10.1108/IJOA-04-2024-4456,scopus,Navigating human-AI dynamics: implications for organizational performance (SLR),"['Khushk, A.', 'Liu, L.', 'Xu, X.', 'Zhang, X.']",2025,International Journal of Organizational Analysis,"Purpose: The purpose of this study is to investigate the key characteristics of artificial intelligence (AI) in organizational settings, analyze its capacity to reduce customer service jobs in favor of more advanced roles and analyze its efficacy in candidate screening by emphasizing performance. Design/methodology/approach: A comprehensive analysis of 40 papers is performed using the PRISMA method based on data from Web of Science, Scopus, Emerald and Google Scholar. Findings: The findings show",uncertain,0.6,"The paper focuses on AI applications in organizational settings, which includes HR contexts such as recruiting and performance monitoring. | The paper discusses the implications of AI on organizational performance, which may touch on ethical concerns. | However, the abstract does not explicitly mention ethical implications or concerns, such as bias, fairness, or transparency, which is a key inclusion criterion.",,ai:llama-3.3-70b-versatile,2026-02-02T17:37:32.862679,,https://doi.org/10.1108/IJOA-04-2024-4456,False,5
scopus_2-s2.0-105008263300,10.4018/979-8-3373-1005-3.ch008,scopus,Artificial intelligence in talent management enhancing recruitment and workforce development,"['Rajeev, K.', 'Raju, S.S.', 'Rana, V.']",2025,Innovative Approaches for International Competitiveness Through Human Resource Management,"The role of artificial intelligence (AI) in talent management is seen as the biggest change in practice across recruitment, workforce development, and employee engagement. This new aspect brings AI to human resource management systems that allow for the automation of repetitive tasks, reduces operational inefficiencies, and supports data-driven decisions based on strategic objectives. This research looks into how AI plays a multi-dimensional role in enhancing talent management processes, paying ",uncertain,0.6,"The paper focuses on AI applications in HR contexts, specifically talent management and recruitment, which meets the first inclusion criterion. | The abstract mentions the use of AI tools to reduce unconscious biases, which implies a discussion of ethical implications, but it is unclear if the paper thoroughly addresses ethical concerns. | The paper appears to be an academic/scholarly source, which meets the third inclusion criterion.",,ai:llama-3.3-70b-versatile,2026-02-02T17:38:27.731032,,https://doi.org/10.4018/979-8-3373-1005-3.ch008,False,0
